acct,date,source,amt,memo,Class,Subclass,Category,Subcat
Freedom,2/18/2018,RACETRAC2329  00023291,-26.72,,Expense,Essential,Transport,Petrol
Freedom,2/20/2018,KROGER FUEL #1449,-39.72,,Expense,Essential,Transport,Petrol
Freedom,2/23/2018,BEST BUY      00005017,-100.69,,Expense,Essential,Work,Reva
Sapphire,1/3/2018,ROCKLER 41,-4.94,,Expense,Essential,Work,John
BoA,1/3/2018,SEVANANDA NATURAL FOODS ATLANTA GA,-94.12,,Expense,Essential,Groceries,Groceries
Freedom,2/25/2018,COLE HAAN-WOODSTOCK,-106,,Expense,Lifestyle,Apparel,Reva
BoA,1/4/2018,SPROUTS FARMERS MAR DECATUR GA,-9.4,,Expense,Essential,Groceries,Groceries
BoA,1/8/2018,"SUPER H MART, INC DULUTH GA",-13.23,,Expense,Essential,Groceries,Groceries
Freedom,2/25/2018,FOSSIL #7485,-58.51,,Expense,Lifestyle,Apparel,Reva
Freedom,2/25/2018,PRIVATEINTERNETACCESS,-39.95,,Expense,Lifestyle,Entertainment,Reva
Sapphire,1/2/2018,THE HOME DEPOT #1777,-104.94,,Expense,Essential,Work,John
Sapphire,1/13/2018,THE HOME DEPOT 106,-50,,Expense,Essential,Work,John
Sapphire,1/14/2018,THE HOME DEPOT 106,50,,Expense,Essential,Work,John
Sapphire,3/4/2018,THE HOME DEPOT 129,-63.42,Glenhaven,Expense,Essential,Home,Maintenance
Sapphire,3/4/2018,THE HOME DEPOT 129,-28.38,Glenhaven,Expense,Essential,Home,Maintenance
Sapphire,3/4/2018,THE HOME DEPOT 129,-20.95,Glenhaven,Expense,Essential,Home,Maintenance
Sapphire,3/5/2018,AMAZON MKTPLACE PMTS,-25.95,,Expense,Essential,Medical,Pharmacy
Sapphire,3/7/2018,SQ *SUSHI BURRI,-12.54,,Expense,Lifestyle,Dining,John
Sapphire,2/5/2018,THE HOME DEPOT 1775,-21.17,,Expense,Essential,Work,John
Sapphire,2/5/2018,THE HOME DEPOT 1775,-85.82,,Expense,Essential,Work,John
Sapphire,1/10/2018,THE HOME DEPOT 1777,-30.68,,Expense,Essential,Work,John
Sapphire,1/18/2018,THE HOME DEPOT 1777,-57.01,,Expense,Essential,Work,John
Sapphire,1/24/2018,THE HOME DEPOT 1777,-63.5,,Expense,Essential,Work,John
Sapphire,2/15/2018,THE HOME DEPOT 1777,-7.4,,Expense,Essential,Work,John
Sapphire,3/9/2018,HIGHLAND WOODWORKING,-186.12,,Expense,Essential,Work,John
Barclay,1/12/2018,TRAVELERS PERSONAL INS,-799,,Expense,Essential,Transport,Insurance
Sapphire,1/30/2018,VESTA  *AT&amp;T,-55.75,,Expense,Essential,Utilities,Mobile
Sapphire,3/9/2018,TARGET        00014530,-34.9,,Expense,Lifestyle,Home,Kitchen
Sapphire,1/6/2018,WALGREENS #5898,-12.27,,Expense,Essential,Medical,Pharmacy
Sapphire,3/9/2018,KROGER #446,-25.96,,Expense,Essential,Groceries,Groceries
Sapphire,2/2/2018,A EAGLE OUTFTR00006593,-96.95,,Expense,Lifestyle,Apparel,Reva
Sapphire,2/13/2018,A EAGLE OUTFTR00028654,53.01,,Expense,Lifestyle,Apparel,Reva
Sapphire,2/2/2018,AMAZON MKTPLACE PMTS,-8.71,,Expense,Lifestyle,Apparel,Reva
Sapphire,2/3/2018,Amazon.com,-55.63,,Expense,Lifestyle,Apparel,Reva
Barclay,1/22/2018,BR FACTORY US 1240,-173.81,,Expense,Lifestyle,Apparel,Reva
Barclay,1/24/2018,BR FACTORY US 1240,44.93,,Expense,Lifestyle,Apparel,Reva
Sapphire,2/3/2018,C&amp;J CLARK 775,-65.33,,Expense,Lifestyle,Apparel,Reva
Freedom,2/26/2018,KROGER FUEL #1446,-27.48,,Expense,Essential,Transport,Petrol
Freedom,2/28/2018,EXXONMOBIL    47685037,-43.51,,Expense,Essential,Transport,Petrol
Sapphire,1/23/2018,J CREW FACTORY #188,-13.6,,Expense,Lifestyle,Apparel,Reva
Sapphire,2/23/2018,KATE SPADE OUTLET 1845,-27.14,,Expense,Lifestyle,Apparel,Reva
Sapphire,2/4/2018,MACYS   .COM,-111.27,,Expense,Lifestyle,Apparel,Reva
Sapphire,2/3/2018,MACYS  LENOX SQUARE,-65.32,,Expense,Lifestyle,Apparel,Reva
Sapphire,3/9/2018,THE HOME DEPOT 1777,-24.22,,Expense,Essential,Work,John
Sapphire,2/24/2018,ESCALADE ROCK CLIMBING GY,-38.16,,Expense,Lifestyle,Entertainment,Both
Freedom,3/6/2018,RACETRAC 643  00006437,-38.96,,Expense,Essential,Transport,Petrol
Freedom,3/6/2018,GOOGLE *Martin Stava,-1.99,,Expense,Lifestyle,Health,Reva
Freedom,3/7/2018,Spotify USA,-9.99,,Expense,Lifestyle,Entertainment,Reva
Freedom,3/8/2018,RACETRAC 234  00002345,-21.69,,Expense,Essential,Transport,Petrol
Sapphire,3/9/2018,PAYPAL *WEBUYMOBILE,330,,Expense,Essential,Work,John
Sapphire,2/17/2018,STONE SUMMIT CLIMBING &amp; F,-40,,Expense,Lifestyle,Entertainment,Both
Schwab,1/13/2018,Wells Fargo Ban LILBURN LILBURN,-43,,Expense,Lifestyle,Health,Reva
Sapphire,1/24/2018,MODEL CITIZEN SALON,-52,,Expense,Lifestyle,Health,Reva
Barclay,1/14/2018,CROSSFIT TIPPING POINT,-145,,Expense,Lifestyle,Health,Reva
Barclay,1/23/2018,CROSSFIT TIPPING POINT,-1,,Expense,Lifestyle,Health,Reva
Barclay,2/14/2018,CROSSFIT TIPPING POINT,-145,,Expense,Lifestyle,Health,Reva
Sapphire,2/27/2018,CUROLOGY,-39.9,,Expense,Lifestyle,Health,Reva
Sapphire,2/10/2018,CVS/PHARMACY #02084,-47.97,,Expense,Lifestyle,Health,Reva
Freedom,3/11/2018,EARTH FARE #300,-51.84,,Expense,Essential,Groceries,Groceries
Barclay,3/3/2018,MASSAGE ENVY 1269,-52,,Expense,Lifestyle,Health,Reva
Sapphire,1/7/2018,MISSY @ AMORE-PKVG,-37.1,,Expense,Lifestyle,Health,Reva
Sapphire,2/6/2018,PTIDUNK TRUCK LLC,-40.28,,Expense,Lifestyle,Health,Reva
Sapphire,1/24/2018,BRADSHAW INTERNATIONAL,-47.98,,Expense,Lifestyle,Home,Kitchen
Sapphire,2/2/2018,TARGET        00009829,-38.99,,Expense,Lifestyle,Home,Kitchen
Sapphire,1/13/2018,TARGET        00021717,-54.06,,Expense,Lifestyle,Home,Living
Sapphire,1/20/2018,BROWN DOG DELI,-23.26,,Expense,Lifestyle,Dining,Both
Sapphire,2/4/2018,FIRST WATCH 143,-34.43,,Expense,Lifestyle,Dining,Both
Sapphire,2/24/2018,MEDITERRANEAN BISTRO,-40.69,,Expense,Lifestyle,Dining,Both
Sapphire,3/10/2018,SQ *THE ROOK &amp; PAWN,-22.57,,Expense,Lifestyle,Entertainment,Both
Sapphire,1/31/2018,Whitehall Tavern,-47.12,,Expense,Lifestyle,Dining,Both
Sapphire,2/24/2018,CURRY VILLAGE INDIAN RES,-15.67,,Expense,Lifestyle,Dining,John
Sapphire,1/8/2018,DD/BR #302851 Q35,-3.37,,Expense,Lifestyle,Dining,John
Sapphire,1/11/2018,DUNKIN #349401 Q35,-3.16,,Expense,Lifestyle,Dining,John
Sapphire,1/11/2018,JOHNNYS NEW YORK STYLE PI,-18.5,,Expense,Lifestyle,Dining,John
Sapphire,1/3/2018,LA BAMBA MEXICAN BAR &amp; GR,-12.11,,Expense,Lifestyle,Dining,John
Sapphire,1/10/2018,LA BAMBA MEXICAN BAR &amp; GR,-12.01,,Expense,Lifestyle,Dining,John
Sapphire,2/19/2018,LA BAMBA MEXICAN BAR &amp; GR,-14.25,,Expense,Lifestyle,Dining,John
Sapphire,1/27/2018,SQ *JOE'S EAST ATLANTA CO,-5.08,,Expense,Lifestyle,Dining,John
Sapphire,1/26/2018,SQ *SUSHI BURRI,-12.96,,Expense,Lifestyle,Dining,John
Sapphire,2/23/2018,SQ *SUSHI BURRI,-12.54,,Expense,Lifestyle,Dining,John
Sapphire,3/10/2018,SQ *INDEPENDENT BAKING CO,-12.02,,Expense,Lifestyle,Dining,Both
Sapphire,2/7/2018,STARBUCKS STORE 08498,-4.93,,Expense,Lifestyle,Dining,John
Sapphire,3/10/2018,AGUA LINDA,-8.98,,Expense,Lifestyle,Dining,Reva
Sapphire,3/12/2018,LOWES #02204*,-17.09,,Expense,Essential,Work,John
Sapphire,1/21/2018,BATDORF  BRONSON DANCING,-4.32,,Expense,Lifestyle,Dining,Reva
Sapphire,1/12/2018,CURRY VILLAGE INDIAN RES,-10.27,,Expense,Lifestyle,Dining,Reva
Sapphire,1/24/2018,HENDERSHOTS,-4,,Expense,Lifestyle,Dining,Reva
Sapphire,1/24/2018,HENDERSHOTS,-5.75,,Expense,Lifestyle,Dining,Reva
Sapphire,1/25/2018,HENDERSHOTS,-5.5,,Expense,Lifestyle,Dining,Reva
Sapphire,1/22/2018,HONEST,-12.29,,Expense,Lifestyle,Dining,Reva
Sapphire,2/18/2018,HONEST,-31.53,,Expense,Lifestyle,Dining,Reva
Sapphire,2/10/2018,JCT KITCHEN,-45.21,,Expense,Lifestyle,Dining,Reva
Sapphire,1/13/2018,JINYA RAMEN BAR BU,-12.43,,Expense,Lifestyle,Dining,Reva
Sapphire,3/13/2018,TACO STAND- MILL,-9.82,,Expense,Lifestyle,Dining,John
Sapphire,1/10/2018,SQ *INDEPENDENT BAKING CO,-5.75,,Expense,Lifestyle,Dining,Reva
Sapphire,1/23/2018,SQ *JITTERY JOE'S COFFEE,-3.5,,Expense,Lifestyle,Dining,Reva
Sapphire,1/25/2018,STARBUCKS STORE 00982,-3.21,,Expense,Lifestyle,Dining,Reva
Sapphire,1/25/2018,STARBUCKS STORE 00982,-3.87,,Expense,Lifestyle,Dining,Reva
Sapphire,2/13/2018,STARBUCKS STORE 08309,-6.38,,Expense,Lifestyle,Dining,Reva
Sapphire,2/2/2018,THAI RESTAURANT OF NORCRO,-9.55,,Expense,Lifestyle,Dining,Reva
Sapphire,1/18/2018,THE IMPERIAL,-6.21,,Expense,Lifestyle,Dining,Reva
Sapphire,2/15/2018,The National,-6,,Expense,Lifestyle,Dining,Reva
Sapphire,1/7/2018,TREE STORY BAKERY &amp; CAFE,-8.61,,Expense,Lifestyle,Dining,Reva
Sapphire,1/25/2018,Whitehall Tavern,-16.83,,Expense,Lifestyle,Dining,Reva
Sapphire,2/22/2018,Whitehall Tavern,-14.91,,Expense,Lifestyle,Dining,Reva
Schwab,1/31/2018,ATM Fee Rebate,3,,Income,Other,Rebate,
Schwab,2/15/2018,BANK INT 011618-021518 SCHWAB BANK,0.1,Bank Interest,Income,Other,Interest,
Schwab,1/15/2018,BANK INT 121617-011518 SCHWAB BANK,0.1,Bank Interest,Income,Other,Interest,
Chase,1/2/2018,DEPOSIT  ID NUMBER 470288,800,,Income,Other,Gift,
Schwab,1/31/2018,Interest Paid,0.09,,Income,Other,Interest,
Schwab,2/28/2018,Interest Paid,0.16,,Income,Other,Interest,
Schwab,3/14/2018,OCLARO INC,5.17,Sell,Income,Other,Stock,
Chase,1/11/2018,GAMEDAY MANAGEME PAYROLL                    PPD ID: 1462858780,366.3,,Income,Salary,Reva,
Chase,1/25/2018,GAMEDAY MANAGEME PAYROLL                    PPD ID: 1462858780,370.8,,Income,Salary,Reva,
Chase,2/8/2018,GAMEDAY MANAGEME PAYROLL                    PPD ID: 1462858780,435,,Income,Salary,Reva,
Chase,2/22/2018,GAMEDAY MANAGEME PAYROLL                    PPD ID: 1462858780,974.1,,Income,Salary,Reva,
Chase,3/8/2018,GAMEDAY MANAGEME PAYROLL                    PPD ID: 1462858780,970.5,,Income,Salary,Reva,
Chase,1/2/2018,REMOTE ONLINE DEPOSIT #          1,594,,Income,Salary,John,
Chase,1/8/2018,REMOTE ONLINE DEPOSIT #          1,360,,Income,Salary,John,
Chase,1/16/2018,REMOTE ONLINE DEPOSIT #          1,324,,Income,Salary,John,
Chase,1/29/2018,REMOTE ONLINE DEPOSIT #          1,350,,Income,Salary,John,
Chase,1/29/2018,REMOTE ONLINE DEPOSIT #          1,702,,Income,Salary,John,
Chase,2/12/2018,REMOTE ONLINE DEPOSIT #          1,750,,Income,Salary,John,
Chase,2/12/2018,REMOTE ONLINE DEPOSIT #          1,756,,Income,Salary,John,
Chase,2/20/2018,REMOTE ONLINE DEPOSIT #          1,350,,Income,Salary,John,
Chase,2/21/2018,REMOTE ONLINE DEPOSIT #          1,50,,Income,Salary,John,
Chase,2/21/2018,REMOTE ONLINE DEPOSIT #          1,324,,Income,Salary,John,
Chase,2/28/2018,REMOTE ONLINE DEPOSIT #          1,106.95,,Income,Salary,John,
Chase,2/28/2018,REMOTE ONLINE DEPOSIT #          1,600,,Income,Salary,John,
Chase,3/9/2018,REMOTE ONLINE DEPOSIT #          1,100,,Income,Salary,John,
Chase,3/9/2018,REMOTE ONLINE DEPOSIT #          1,600,,Income,Salary,John,
BoA,1/3/2018,BA ELECTRONIC PAYMENT,727.93,,Transfer,,,
BoA,1/29/2018,BA ELECTRONIC PAYMENT,252.1,,Transfer,,,
BoA,2/16/2018,BA ELECTRONIC PAYMENT,240.16,,Transfer,,,
Schwab,1/16/2018,BARCLAYCARD US CREDITCARD ,-114.09,,Transfer,,,
Schwab,2/26/2018,BARCLAYCARD US CREDITCARD ,-1073.88,,Transfer,,,
Schwab,1/4/2018,BK OF AMER VI/MC ONLINE PMT 180104,-727.93,,Transfer,,,
Schwab,1/30/2018,BK OF AMER VI/MC ONLINE PMT 180130,-252.1,,Transfer,,,
Schwab,2/20/2018,BK OF AMER VI/MC ONLINE PMT 180220,-240.16,,Transfer,,,
Schwab,1/29/2018,Electronic Deposit,1000,,Transfer,,,
Schwab,2/16/2018,Electronic Deposit,1000,,Transfer,,,
Schwab,2/23/2018,Electronic Deposit,750,,Transfer,,,
Schwab,2/16/2018,Funds Transfer to Brokerage -8052,-400,,Transfer,,,
Schwab,3/1/2018,Funds Transfer to Brokerage -8052,-400,,Transfer,,,
Barclay,1/15/2018,Payment Received,114.09,,Transfer,,,
Barclay,2/23/2018,Payment Received,1073.88,,Transfer,,,
Sapphire,1/8/2018,Payment Thank You - Web,1373.98,,Transfer,,,
Sapphire,2/11/2018,Payment Thank You - Web,1000,,Transfer,,,
Freedom,3/11/2018,KROGER FUEL #1446,-39.79,,Expense,Essential,Transport,Petrol
Sapphire,2/23/2018,Payment Thank You - Web,2054.73,,Transfer,,,
Chase,2/16/2018,Payment to Chase card ending in 0837 02/16,-305.7,,Transfer,,,
Chase,1/8/2018,Payment to Chase card ending in 4296 01/08,-1373.98,,Transfer,,,
Chase,2/12/2018,Payment to Chase card ending in 4296 02/12,-1000,,Transfer,,,
Chase,2/23/2018,Payment to Chase card ending in 4296 02/23,-2054.73,,Transfer,,,
Chase,1/30/2018,SCHWAB BANK      TRANSFER   000440023845967 WEB ID: 3615220001,-1000,,Transfer,,,
Chase,2/20/2018,SCHWAB BANK      TRANSFER   000440023845967 WEB ID: 3615220001,-1000,,Transfer,,,
Chase,2/26/2018,SCHWAB BANK      TRANSFER   000440023845967 WEB ID: 3615220001,-750,,Transfer,,,
Chase,3/13/2018,SCHWAB BROKERAGE MONEYLINK  558622486238052 WEB ID: 9005586224,-800,,Transfer,,,
Schwab,3/13/2018,"Tfr JPMORGAN CHASE, REVA TAIT",800,MoneyLink Transfer,Transfer,,,
Schwab,2/16/2018,TRANSFER FUNDS FROM SCHWAB BANK - 440023845967,400,Journal,Transfer,,,
Schwab,3/1/2018,TRANSFER FUNDS FROM SCHWAB BANK - 440023845967,400,Journal,Transfer,,,
Chase,3/19/2018,Payment to Chase card ending in 0837 03/19,-879.28,,Transfer,,,
Chase,3/19/2018,REMOTE ONLINE DEPOSIT #          1,342,,Income,Salary,John,
Chase,3/19/2018,REMOTE ONLINE DEPOSIT #          1,600,,Income,Salary,John,
Chase,3/20/2018,SCHWAB BANK      TRANSFER   000440023845967 WEB ID: 3615220001,-400,,Transfer,,,
Chase,3/20/2018,SCHWAB BROKERAGE MONEYLINK  558622486238052 WEB ID: 9005586224,-400,,Transfer,,,
Chase,3/22/2018,GAMEDAY MANAGEME PAYROLL                    PPD ID: 1462858780,523.8,,Income,Salary,Reva,
Chase,3/22/2018,REMOTE ONLINE DEPOSIT #          1,300,,Income,Salary,John,
Chase,3/26/2018,SCHWAB BROKERAGE MONEYLINK  558622486238052 WEB ID: 9005586224,-400,,Transfer,,,
Chase,3/26/2018,REMOTE ONLINE DEPOSIT #          1,372.11,,Expense,Essential,Work,John
Chase,3/26/2018,REMOTE ONLINE DEPOSIT #          1,400,,Income,Salary,John,
Chase,3/28/2018,Payment to Chase card ending in 4296 03/28,-2012.2,,Transfer,,,
Chase,3/29/2018,ORIG CO NAME:SCHWAB BROKERAGE CO ENTRY DESCR:MONEYLINK  SEC:WEB IND ID:558622486238052 ORIG ID:9005586224,-400,,Transfer,,,
Freedom,3/18/2018,TRADER JOE'S #736 QPS,-24.94,,Expense,Essential,Transport,Petrol
Freedom,3/18/2018,Payment Thank You - Web,879.28,,Transfer,,,
Freedom,3/23/2018,KROGER FUEL #1449,-41.87,,Expense,Essential,Transport,Petrol
Freedom,3/26/2018,RACETRAC 643  00006437,-24.24,,Expense,Essential,Transport,Petrol
BoA,3/19/2018,LOWES #00640* LILBURN GA,-117.62, t ,Expense,Essential,Work,John
BoA,3/21/2018,DAILY GROCERIES CO-OP ATHENS GA,-6.16,,Expense,Essential,Groceries,Groceries
BoA,3/28/2018,BA ELECTRONIC PAYMENT,240.16,,Transfer,,,
Barclay,3/17/2018,SEARS HOMETOWN 3655,-96.29,,Expense,Essential,Work,John
Barclay,3/18/2018,THE HOME DEPOT #1777,-31.77,,Expense,Essential,Work,John
Barclay,3/19/2018,NORCROSS SUPPLY CO,-67.16,,Expense,Essential,Work,John
Barclay,3/22/2018,Payment Received,250,,Transfer,,,
Barclay,3/24/2018,THE HOME DEPOT #0147,-197.43,,Expense,Essential,Work,John
Barclay,3/24/2018,THE HOME DEPOT #0147,-16.33,,Expense,Essential,Work,John
Barclay,3/25/2018,THE HOME DEPOT #0147,-158.35,,Expense,Essential,Work,John
Sapphire,3/13/2018,The Home Depot,-60.94,,Expense,Essential,Home,Maintenance
Sapphire,3/13/2018,The Home Depot,-32.08,,Expense,Essential,Home,Maintenance
Sapphire,3/13/2018,DAILY GROCERIES CO-OP ATHENS GA,-13.06,,Expense,Essential,Groceries,Groceries
Sapphire,3/14/2018,M3Yoga,-20,,Expense,Essential,Health,Reva
Sapphire,3/14/2018,The Home Depot,-39.61,,Expense,Essential,Home,Maintenance
Sapphire,3/14/2018,The Home Depot,126.38,,Expense,Essential,Home,Maintenance
Sapphire,3/14/2018,The Home Depot,-7.65,,Expense,Essential,Home,Maintenance
Sapphire,3/15/2018,Amazon,-104.94,,Expense,Essential,Work,John
Sapphire,3/15/2018,IKE &amp; JANE,-10.03,,Expense,Lifestyle,Dining,Reva
Sapphire,3/16/2018,Viva Argentine,-32.82,,Expense,Lifestyle,Dining,Both
Sapphire,3/16/2018,SQ *SUSHI BURRI,-12.54,,Expense,Lifestyle,Dining,John
Sapphire,3/17/2018,SQ *INDEPENDENT BAKING CO,-12.08,,Expense,Lifestyle,Dining,Both
Sapphire,3/19/2018,TARGET        00014530,17.97,,Expense,Lifestyle,Home,Kitchen
Sapphire,3/20/2018,SQ *LAVENDER PEST CONTROL,-129,,Expense,Essential,Home,Maintenance
Sapphire,3/20/2018,CVS/PHARMACY #05704,-35.61,,Expense,Essential,Medical,Pharmacy
Sapphire,3/22/2018,SIRI THAI CUISINE,-11.08,,Expense,Lifestyle,Dining,Reva
Sapphire,3/23/2018,AMAZON MKTPLACE PMTS,-41.48,,Expense,Essential,Medical,Pharmacy
Sapphire,3/23/2018,PURE TAQUERIA,-15.77,,Expense,Lifestyle,Dining,John
Schwab,3/26/2018,Allen,12, cash ,Expense,Lifestyle,Dining,John
Freedom,3/17/2018,EARTH FARE #300,-37.4,,Expense,Essential,Groceries,Groceries
Freedom,3/17/2018,BP,-43.98,,Expense,Essential,Transport,Petrol
Freedom,3/17/2018,TRADER JOE'S #736 QPS,-7.33,,Expense,Essential,Groceries,Groceries
Freedom,3/17/2018,ADOBE SYSTEMS,48.32,,Expense,Essential,Work,Reva
Freedom,3/16/2018,RaceTrac,-25.3,,Expense,Essential,Transport,Petrol
Freedom,3/16/2018,ADOBE SYSTEMS,-49.99,,Expense,Essential,Work,Reva
Freedom,3/16/2018,ADOBE SYSTEMS,-9.99,,Expense,Essential,Work,Reva
Freedom,3/14/2018,Marathon,-33.19,,Expense,Essential,Transport,Petrol
Sapphire,3/23/2018,HENDERSHOTS,-5.2,,Expense,Lifestyle,Dining,Reva
Sapphire,3/23/2018,SQ *SIPS,-3.94,,Expense,Lifestyle,Dining,Reva
Sapphire,3/25/2018,PURE TAQUERIA,-24,,Expense,Lifestyle,Dining,John
Sapphire,3/25/2018,NORMAL BAR,-14,,Expense,Lifestyle,Dining,Reva
Sapphire,3/25/2018,SQ *INDEPENDENT BAKING CO,-12.02,,Expense,Lifestyle,Dining,Reva
Sapphire,3/25/2018,EARTH FARE #300,-9.41,,Expense,Essential,Groceries,Groceries
Sapphire,3/25/2018,TACO STAND- MILL,-6.44,,Expense,Lifestyle,Dining,Reva
Sapphire,3/26/2018,SQ *BRAVO MEXICAN GRILL,-9.17,,Expense,Lifestyle,Dining,John
